Pusan	NN	I-NP	I-ORG
0	CD	I-NP	O
2	CD	I-NP	O
1	CD	I-NP	O
3	CD	I-NP	O
7	CD	I-NP	O
2	CD	I-NP	O

Martin	NNP	I-NP	I-PER
Brooks	NNP	I-NP	I-PER
,	,	O	O
president	NN	I-NP	O
of	IN	I-PP	O
Miss	NNP	I-NP	I-ORG
Universe	NNP	I-NP	I-ORG
Inc	NNP	I-NP	I-ORG
,	,	O	O
said	VBD	I-VP	O
he	PRP	I-NP	O
spoke	VBD	I-VP	O
with	IN	I-PP	O
Machado	NNP	I-NP	I-PER
to	TO	I-VP	O
assure	VB	I-VP	O
her	PRP	I-NP	O
that	IN	I-SBAR	O
organisers	NNS	I-NP	O
were	VBD	I-VP	O
not	RB	I-VP	O
putting	VBG	I-VP	O
pressure	NN	I-NP	O
on	IN	I-PP	O
her	PRP	I-NP	O
.	.	O	O

Bonds	NNS	I-NP	I-PER
came	VBD	I-VP	O
out	IN	I-PP	O
of	IN	B-PP	O
Wednesday	NNP	I-NP	O
's	POS	B-NP	O
game	NN	I-NP	O
against	IN	I-PP	O
New	NNP	I-NP	I-ORG
York	NNP	I-NP	I-ORG
in	IN	I-PP	O
the	DT	I-NP	O
ninth	JJ	I-NP	O
inning	NN	I-NP	O
after	IN	I-PP	O
suffering	VBG	I-VP	O
a	DT	I-NP	O
mild	JJ	I-NP	O
hamstring	NN	I-NP	O
strain	NN	I-NP	O
.	.	O	O

Sylvain	NNP	I-NP	I-PER
Bouchard	NNP	I-NP	I-PER
(	(	O	O
Canada	NNP	I-NP	I-LOC
)	)	O	O
38.00	CD	I-NP	O
;	:	O	O
9	LS	I-LST	O
.	.	O	O

6.	CD	I-NP	O
Costantino	NNP	I-NP	I-PER
Rocca	NNP	I-NP	I-PER
(	(	O	O
Italy	NNP	I-NP	I-LOC
)	)	O	O
253,337	CD	I-NP	O

Alloa	NN	I-NP	I-ORG
3	CD	I-NP	O
1	CD	I-NP	O
1	CD	I-NP	O
1	CD	I-NP	O
3	CD	I-NP	O
3	CD	I-NP	O
4	CD	I-NP	O

27.	CD	I-NP	O
Sybille	NNP	I-NP	I-PER
Brauner	NNP	I-NP	I-PER
(	(	O	O
Germay	NNP	I-NP	O
)	)	O	O
1:51.04	CD	I-NP	O

--	:	O	O
Karachi	NNP	I-NP	I-LOC
newsroom	NN	I-NP	O
9221-5685192	CD	I-NP	O

Hamilton	NNP	I-NP	I-ORG
2	CD	I-NP	O
Clyde	NNP	I-NP	I-ORG
0	CD	I-NP	O

NEW	NNP	I-NP	I-LOC
YORK	NNP	I-NP	I-LOC
1996-08-25	CD	I-NP	O

A.	NNP	I-NP	I-PER
Mullally	NNP	I-NP	I-PER
b	SYM	O	O
Wasim	NNP	I-NP	I-PER
Akram	NNP	I-NP	I-PER
0	CD	I-NP	O

Willem	NNP	I-NP	I-ORG
II	NNP	I-NP	I-ORG
Tilburg	NNP	I-NP	I-ORG
0	CD	I-NP	O
Fortuna	NNP	I-NP	I-ORG
Sittard	NNP	I-NP	I-ORG
1	CD	I-NP	O

15.125	CD	I-NP	O
seconds	NNS	I-NP	O
(	(	O	O
average	JJ	I-NP	O
speed	NN	I-NP	O
208.442	CD	I-NP	O
kph	NN	I-NP	O
)	)	O	O

2	CD	I-NP	O
-	:	I-NP	O
Monica	NNP	I-NP	I-PER
Seles	NNPS	I-NP	I-PER
(	(	O	O
U.S.	NNP	I-NP	I-LOC
)	)	O	O
beat	VB	I-VP	O
Anne	NNP	I-NP	I-PER
Miller	NNP	I-NP	I-PER
(	(	O	O
U.S.	NNP	I-NP	I-LOC
)	)	O	O
6-0	CD	I-NP	O
6-1	JJ	I-ADVP	O

-DOCSTART-	-X-	O	O

"	"	O	O
It	PRP	I-NP	O
was	VBD	I-VP	O
one	CD	I-NP	O
of	IN	I-PP	O
these	DT	I-NP	O
games	NNS	I-NP	O
where	WRB	I-ADVP	O
you	PRP	I-NP	O
get	VBP	I-VP	O
three	CD	I-NP	O
straight	JJ	I-NP	O
pinch-hits	NNS	I-NP	O
and	CC	O	O
a	DT	I-NP	O
walk	NN	I-NP	O
of	IN	I-PP	O
a	DT	I-NP	O
pinch-hitter	NN	I-NP	O
,	,	O	O
that	DT	I-NP	O
's	VBZ	I-VP	O
how	WRB	I-ADVP	O
you	PRP	I-NP	O
win	VBP	I-VP	O
pennants	NNS	I-NP	O
,	,	O	O
"	"	O	O
Dodgers	NNP	I-NP	I-ORG
manager	NN	I-NP	O
Bill	NNP	I-NP	I-PER
Russell	NNP	I-NP	I-PER
said	VBD	I-VP	O
.	.	O	O
"	"	O	O

3.	NNP	I-NP	O
BVSC	NNP	I-NP	I-ORG
3	CD	I-NP	O
2	CD	I-NP	O
1	CD	I-NP	O
-	:	I-NP	O
6	CD	I-NP	O
2	CD	I-NP	O
7	CD	I-NP	O

The	DT	I-NP	O
wells	NNS	I-NP	O
will	MD	I-VP	O
be	VB	I-VP	O
reperforated	VBN	I-VP	O
and	CC	O	O
gravel	NN	I-NP	O
will	MD	I-VP	O
be	VB	I-VP	O
pumped	VBN	I-VP	O
into	IN	I-PP	O
the	DT	I-NP	O
reservoir	NN	I-NP	O
through	IN	I-PP	O
one	CD	I-NP	O
of	IN	I-PP	O
the	DT	I-NP	O
wells	NNS	I-NP	O
to	TO	I-VP	O
avoid	VB	I-VP	O
plugging	VBG	I-VP	O
problems	NNS	I-NP	O
in	IN	I-PP	O
the	DT	I-NP	O
future	NN	I-NP	O
,	,	O	O
it	PRP	I-NP	O
said	VBD	I-VP	O
.	.	O	O

The	DT	I-NP	O
rankings	NNS	I-NP	O
are	VBP	I-VP	O
based	VBN	I-VP	O
on	IN	I-PP	O
a	DT	I-NP	O
formula	NN	I-NP	O
that	WDT	B-NP	O
takes	VBZ	I-VP	O
into	IN	I-PP	O
account	NN	I-NP	O
many	JJ	I-NP	O
factors	NNS	I-NP	O
including	VBG	I-PP	O
red	JJ	I-NP	O
and	CC	I-NP	O
yellow	JJ	I-NP	O
cards	NNS	I-NP	O
,	,	O	O
and	CC	O	O
coaching	NN	I-NP	O
and	CC	O	O
spectators	NNS	I-NP	O
'	POS	B-NP	O
behaviour	NN	I-NP	O
at	IN	I-PP	O
matches	NNS	I-NP	O
played	VBD	I-VP	O
at	IN	I-PP	O
an	DT	I-NP	O
international	JJ	I-NP	O
level	NN	I-NP	O
by	IN	I-PP	O
clubs	NNS	I-NP	O
and	CC	O	O
national	JJ	I-NP	O
teams	NNS	I-NP	O
.	.	O	O

8	CD	I-NP	O
-	:	I-NP	O
Lindsay	NNP	I-NP	I-PER
Davenport	NNP	I-NP	I-PER
(	(	O	O
U.S.	NNP	I-NP	I-LOC
)	)	O	O
beat	VB	I-VP	O
Henrietta	NNP	I-NP	I-PER
Nagyova	NNP	I-NP	I-PER
(	(	O	O
Slovakia	NNP	I-NP	I-LOC
)	)	O	O
6-	CD	I-NP	O
0	CD	I-NP	O
6-4	CD	I-NP	O

-	:	O	O
Irish	JJ	I-NP	I-MISC
exploration	NN	I-NP	O
company	NN	I-NP	O
Ivernia	NNP	I-NP	I-ORG
and	CC	O	O
its	PRP$	I-NP	O
South	JJ	I-NP	I-MISC
African	JJ	I-NP	I-MISC
partner	NN	I-NP	O
Minorco	NNP	B-NP	I-ORG
have	VBP	I-VP	O
received	VBN	I-VP	O
planning	VBG	I-VP	O
permission	NN	I-NP	O
from	IN	I-PP	O
the	DT	I-NP	O
local	JJ	I-NP	O
county	NN	I-NP	O
council	NN	I-NP	O
for	IN	I-PP	O
a	DT	I-NP	O
major	JJ	I-NP	O
lead	NN	I-NP	O
and	CC	I-NP	O
zinc	NN	I-NP	O
mine	NN	I-NP	O
at	IN	I-PP	O
Lisheen	NNP	I-NP	I-LOC
,	,	O	O
County	NNP	I-NP	I-LOC
Tipperary	NNP	I-NP	I-LOC
.	.	O	O

December	NNP	I-NP	O
cotton	NN	I-NP	O
closed	VBD	I-VP	O
0.95	CD	I-NP	O
cent	NN	I-NP	O
higher	JJR	I-ADJP	O
at	IN	I-PP	O
77.06	CD	I-NP	O
cents	NNS	I-NP	O
per	IN	I-PP	O
pound	NN	I-NP	O
on	IN	I-PP	O
the	DT	I-NP	O
New	NNP	I-NP	I-ORG
York	NNP	I-NP	I-ORG
Cotton	NNP	I-NP	I-ORG
Exchange	NNP	I-NP	I-ORG
despite	IN	I-PP	O
some	DT	I-NP	O
easing	NN	I-NP	O
of	IN	I-PP	O
concern	NN	I-NP	O
about	IN	I-PP	O
the	DT	I-NP	O
twin	JJ	I-NP	O
hurricane	NN	I-NP	O
threat	NN	I-NP	O
to	TO	I-PP	O
key	JJ	I-NP	O
U.S.	NNP	I-NP	I-LOC
growing	VBG	I-VP	O
areas	NNS	I-NP	O
with	IN	I-PP	O
forecasts	NNS	I-NP	O
indicating	VBG	I-VP	O
both	DT	I-NP	O
storms	NNS	I-NP	O
may	MD	I-VP	O
remain	VB	I-VP	O
offshore	RB	I-ADVP	O
.	.	O	O

Result	NN	I-NP	O
of	IN	I-PP	O
the	DT	I-NP	O
1,000	CD	I-NP	I-MISC

The	DT	I-NP	O
government	NN	I-NP	O
also	RB	I-ADVP	O
wants	VBZ	I-VP	O
10	CD	I-NP	O
percent	NN	I-NP	O
of	IN	I-PP	O
the	DT	I-NP	O
property	NN	I-NP	O
.	.	O	O

MADRID	NNP	I-NP	I-LOC
1996-12-07	CD	I-NP	O

-DOCSTART-	-X-	O	O

ooOOoo	SYM	O	O

TUE	NN	I-NP	O
Iscor	NNP	I-NP	I-ORG
YR	NNP	I-NP	O
EPS	NNP	I-NP	O
29.7	CD	I-NP	O
26.0-32.0	CD	I-NP	O
38.0	CD	I-NP	O

The	DT	I-NP	O
airport	NN	I-NP	O
in	IN	I-PP	O
Surcin	NNP	I-NP	I-LOC
will	MD	I-VP	O
continue	VB	I-VP	O
to	TO	I-VP	O
carry	VB	I-VP	O
out	RP	I-PRT	O
all	DT	I-NP	O
other	JJ	I-NP	O
activities	NNS	I-NP	O
and	CC	O	O
has	VBZ	I-VP	O
secured	VBN	I-VP	O
enough	JJ	I-NP	O
buses	NNS	I-NP	O
to	TO	I-VP	O
transport	VB	I-VP	O
passengers	NNS	I-NP	O
to	TO	I-PP	O
Batajnica	NNP	I-NP	I-LOC
,	,	O	O
Acimovic	NNP	I-NP	I-PER
said	VBD	I-VP	O
.	.	O	O

Japanese	JJ	I-NP	I-MISC
Goverment	NNP	I-NP	I-MISC
Bonds	NNPS	I-NP	I-MISC
futures	NNS	I-NP	O
which	WDT	B-NP	O
closed	VBD	I-VP	O
before	IN	I-PP	O
the	DT	I-NP	O
output	NN	I-NP	O
data	NNS	I-NP	O
,	,	O	O
lost	VBD	I-VP	O
much	JJ	I-NP	O
of	IN	I-PP	O
day	NN	I-NP	O
's	POS	B-NP	O
gains	NNS	I-NP	O
as	IN	I-PP	O
Tokyo	NNP	I-NP	I-LOC
stock	NN	I-NP	O
prices	NNS	I-NP	O
recovered	VBD	I-VP	O
from	IN	I-PP	O
the	DT	I-NP	O
day	NN	I-NP	O
's	POS	B-NP	O
low.In	NNS	I-NP	O
after	IN	I-SBAR	O
hours	NNS	I-NP	O
trading	VBG	I-VP	O
the	DT	I-NP	O
September	NNP	I-NP	O
future	JJ	I-NP	O
on	IN	I-PP	O
LIFFE	NNP	I-NP	I-ORG
was	VBD	I-VP	O
trading	VBG	I-VP	O
at	IN	I-PP	O
122.53	CD	I-NP	O
,	,	O	O
up	RB	I-ADVP	O
0.26	CD	I-NP	O
from	IN	I-PP	O
Thursday	NNP	I-NP	O
's	POS	B-NP	O
settlement	NN	I-NP	O
price	NN	I-NP	O
on	IN	I-PP	O
the	DT	I-NP	O
Tokyo	NNP	I-NP	I-ORG
Stock	NNP	I-NP	I-ORG
Exchange	NNP	I-NP	I-ORG
.	.	O	O

ROME	VB	I-NP	I-LOC
1996-08-28	CD	I-NP	O

The	DT	I-NP	O
youth	NN	I-NP	O
side	NN	I-NP	O
replied	VBD	I-VP	O
with	IN	I-PP	O
246	CD	I-NP	O
for	IN	I-PP	O
seven	CD	I-NP	O
.	.	O	O

Russian	JJ	I-NP	I-MISC
police	NNS	I-NP	O
in	IN	I-PP	O
the	DT	I-NP	O
Urals	NNS	I-NP	I-MISC
city	NN	I-NP	O
of	IN	I-PP	O
Perm	NNP	I-NP	I-LOC
are	VBP	I-VP	O
on	IN	I-PP	O
the	DT	I-NP	O
trail	NN	I-NP	O
of	IN	I-PP	O
a	DT	I-NP	O
serial	JJ	I-NP	O
killer	NN	I-NP	O
who	WP	B-NP	O
has	VBZ	I-VP	O
claimed	VBN	I-VP	O
his	PRP$	I-NP	O
seventh	JJ	I-NP	O
victim	NN	I-NP	O
in	IN	I-PP	O
just	RB	I-NP	O
a	DT	I-NP	O
few	JJ	I-NP	O
months	NNS	I-NP	O
,	,	O	O
Itar-Tass	JJ	I-NP	I-ORG
news	NN	I-NP	O
agency	NN	I-NP	O
said	VBD	I-VP	O
on	IN	I-PP	O
Tuesday	NNP	I-NP	O
.	.	O	O

Zelesnik	NNP	I-NP	I-ORG
0	CD	I-NP	O
Rudar	NNP	I-NP	I-ORG
1	CD	I-NP	O

Two	CD	I-NP	O
goals	NNS	I-NP	O
from	IN	I-PP	O
defensive	JJ	I-NP	O
errors	NNS	I-NP	O
in	IN	I-PP	O
the	DT	I-NP	O
last	JJ	I-NP	O
six	CD	I-NP	O
minutes	NNS	I-NP	O
allowed	VBD	I-VP	O
Japan	NNP	I-NP	I-LOC
to	TO	I-VP	O
come	VB	I-VP	O
from	IN	I-PP	O
behind	NN	I-NP	O
and	CC	O	O
collect	VB	I-VP	O
all	DT	I-NP	O
three	CD	I-NP	O
points	NNS	I-NP	O
from	IN	I-PP	O
their	PRP$	I-NP	O
opening	NN	I-NP	O
meeting	NN	I-NP	O
against	IN	I-PP	O
Syria	NNP	I-NP	I-LOC
.	.	O	O

Rare	NNP	I-NP	O
Hendrix	NNP	I-NP	I-PER
song	NN	I-NP	O
draft	NN	I-NP	O
sells	VBZ	I-VP	O
for	IN	I-PP	O
almost	RB	I-NP	O
$	$	I-NP	O
17,000	CD	I-NP	O
.	.	O	O

Those	DT	I-NP	O
taking	VBG	I-NP	O
part	NN	I-NP	O
were	VBD	I-VP	O
told	VBN	I-VP	O
to	TO	I-VP	O
eat	VB	I-VP	O
a	DT	I-NP	O
low-fat	JJR	I-NP	O
diet	NN	I-NP	O
for	IN	I-PP	O
six	CD	I-NP	O
weeks	NNS	I-NP	O
before	IN	I-SBAR	O
they	PRP	I-NP	O
started	VBD	I-VP	O
taking	VBG	I-VP	O
the	DT	I-NP	O
pills	NNS	I-NP	O
,	,	O	O
and	CC	O	O
their	PRP$	I-NP	O
blood	NN	I-NP	O
cholesterol	NN	I-NP	O
measured	VBD	I-VP	O
before	IN	I-PP	O
and	CC	I-PP	O
after	IN	I-PP	O
the	DT	I-NP	O
six-week	JJ	I-NP	O
period	NN	I-NP	O
.	.	O	O

CATTLE	NNP	I-NP	O
CALVES	NNP	I-NP	O
HOGS	NNP	I-NP	O

TORONTO	TO	I-VP	I-ORG
AT	VB	I-VP	O
CHICAGO	NNP	I-NP	I-LOC

